country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2014,88.2,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2015,88.3,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2016,88.5,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2001,86.4,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2002,86.5,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2003,86.6,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2004,86.8,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2005,86.9,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2006,87,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2007,87.1,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2008,87.2,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2009,87.4,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2010,87.5,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2011,87.6,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2012,87.7,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2013,87.8,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2014,87.9,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2015,88,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2016,88.1,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2001,80.3,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2002,80.3,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2003,80.3,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2004,80.3,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2005,80.4,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2006,80.4,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2007,80.4,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2008,80.4,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2009,80.4,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2010,80.5,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2011,80.5,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2012,80.5,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2013,80.5,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2014,80.5,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2015,80.6,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2016,80.6,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2001,72,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2002,71.7,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2003,71.4,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2004,71.1,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2005,70.9,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2006,70.6,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2007,70.3,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2008,70,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2009,69.7,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2010,69.4,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2011,69.1,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2012,68.8,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2013,68.5,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2014,68.2,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2015,67.9,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2016,67.6,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2001,76.1,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2002,76,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2003,75.8,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2004,75.7,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2005,75.5,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2006,75.3,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2007,75.2,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2008,75,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2009,74.9,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2010,74.7,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2011,74.6,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2012,74.5,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2013,74.3,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2014,74.2,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2015,74,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Albania,AL,ALB,8,Insufficient physical activity among school going adolescents,2016,73.9,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2001,90.8,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2002,90.8,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2003,90.9,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2004,90.9,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2005,90.9,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2006,91,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2007,91,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2008,91,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2009,91.1,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2010,91.1,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2011,91.2,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2012,91.2,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2013,91.2,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2014,91.3,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2015,91.3,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2016,91.3,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2001,78.6,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2002,78.5,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2003,78.4,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2004,78.2,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2005,78.1,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2006,77.9,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2007,77.8,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2008,77.6,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2009,77.5,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2010,77.3,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2011,77.2,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2012,77,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2013,76.9,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2014,76.7,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2015,76.6,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2016,76.4,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2001,84.6,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2002,84.5,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2003,84.5,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2004,84.4,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2005,84.4,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2006,84.3,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2007,84.3,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2008,84.2,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2009,84.2,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2010,84.1,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2011,84,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2012,84,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2013,83.9,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2014,83.9,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2015,83.8,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Algeria,DZ,DZA,12,Insufficient physical activity among school going adolescents,2016,83.8,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2001,85,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2002,84.9,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2003,84.9,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2004,84.9,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2005,84.9,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2006,84.8,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2007,84.8,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2008,84.8,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2009,84.8,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2010,84.7,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2011,84.7,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2012,84.7,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2013,84.7,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2014,84.6,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2015,84.6,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2016,84.6,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2001,78.1,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2002,77.8,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2003,77.6,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2004,77.3,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2005,77,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2006,76.8,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2007,76.5,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2008,76.2,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2009,75.9,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2010,75.6,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2011,75.4,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2012,75.1,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2013,74.8,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2014,74.5,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2015,74.2,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2016,73.9,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2001,81.7,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2002,81.6,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2003,81.4,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2004,81.3,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2005,81.1,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2006,81,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2007,80.8,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2008,80.6,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2009,80.4,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2010,80.2,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Antigua and Barbuda,AG,ATG,28,Insufficient physical activity among school going adolescents,2011,80,Total,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
